0x1f8a4b ABOUT_TO_MAKE_CIRCULAR_LIST
0x10c132 ACCEPT_FAILURE_ON_RENDEZVOUS_SOCKET
0xffe312 ALREADY_WRITING_THIS_SNARF
0x37b52e ATTEMPT_TO_OPEN_SECOND_WRITE_VIEW
0xba5f8e A_real_snarf
0xae6b37 AlreadyExhausted
0x5927b1 AlreadyExtinct
0x2065b7 AlreadyInSet
0xb06160 AlreadyInTable
0x0c7bb1 Already_dismantled
0x6b034d AmbiguousReplacement
0x9f2d50 Assertion_failed
0x32e56c Attempt_to_make_an_empty_ActualOrglRoot
0x6ea6a3 BAD_CATEGORY
0x0a60f5 BAD_CLOSE
0x0a30fa BAD_I_D
0xf02675 BAD_SEQUENCE_NUMBER
0x32203a BECOME_TOO_SMALL
0x2f15a3 BROKEN_PROMISE
0x52e0ca BadPrecision
0x86803d BadPrimSpec
0x3c2562 BadRecipe
0x28f909 BadRequest
0xc39d07 Bad_Stub
0xaa8196 BeginningOfPacket
0x3b5ebc BogusProtocol
0xf8c8ca BogusStartIndex
0x84710f CANNOT_HAVE_MULTIPLE_SERVER_LOOPS
0x590004 CANT_ALLOCATE_SPACE_FOR_FLUIDS
0x6a0cbc CANT_BIND_RENDEZVOUS_SOCKET
0x757fbe CANT_CLOSE_URDI_FILE
0x3a614f CANT_CREATE_OR_OPEN_URDI_FILE
0x627005 CANT_CREATE_URDI_PARTITION
0x4a1dce CANT_DEFINE_FLUIDS_AFTER_THEYVE_BEEN_USED
0xb000c5 CANT_DESTROY_SNARF_CACHE_WITH_HANDLE_ON_IT
0x800354 CANT_DROP_VIEW_WITH_HANDLES_HELD
0xe5b7ef CANT_LOCK_URDI_FILE
0x126244 CANT_LOCK_URDI_PARTITION
0x726991 CANT_OPEN_LOG_FILE
0x5a3b84 CANT_OPEN_RENDEZVOUS_SOCKET
0x9950f6 CANT_OPEN_URDI_FILE
0xe651d1 CANT_STAT_URDI_PARTITION
0xa0d784 CATEGORY_NOT_FOUND
0xcec1b1 CIRCULAR_INIT_DEPENDENCY
0x69f08a CLOSE_FAILED
0x093bb5 CannotWrap
0xb9b1c6 CantMakeIdentical
0xac64b5 CantMixCoordinateSpaces
0x0bb1a6 CastFailed
0xa686c8 ClubAlreadyNamed
0x96d75d ClubMustHaveUniqueID
0x022df9 ClubNameInUse
0x4d2ddc CombineLoopFailed
0x467fc0 CopyOutOfBounds
0x94217f CountMismatch
0x76dc56 DIDNT_RESOLVE_WRITE_IN_PROGRESS
0x1665b6 DROPPED_HANDLE_NOT_HELD
0xc961d0 DestructedAbe
0x0b16a0 DiskFull
0x18a28a DoesNotHaveAnID
0x6d1f3e DoesNotMatch
0xee26cd DontChangeTurtlesBootHeaper
0xd247f5 END_OF_FILE
0x658848 ERROR_READING_GUARD_RECORD
0xa2af54 ERROR_READING_OLD_GUARD_RECORD
0xf054c2 ERROR_SEEKING_TO_READ_GUARD_RECORD
0xc9846f ERROR_SEEKING_TO_READ_SNARF
0xba7257 ERROR_SEEKING_TO_SPRAY_DEAD
0x4f40de ERROR_SEEKING_TO_WRITE_GUARD_RECORD
0x1fd859 ERROR_SEEKING_TO_WRITE_SNARF_TO_CLOSET
0x6f1caf ERROR_SEEKING_TO_WRITE_SNARF_TO_STAGING_AREA
0xa58823 ERROR_WRITING_GUARD_RECORD
0xd0c4d2 EditClubIrrevocablyRemoved
0xa74fe7 EditionsRequireLabels
0xb73bb6 EditorRemoved
0xe57516 EmptyRegion
0x7e260e EmptyStepper
0xd8f07c EmptyTrail
0xade33f EndOfPacket
0x1fc1e5 End_of_packet_marker_required
0x998ba9 EndorsementMustBeFinite
0x292960 FAILED_TO_ALLOCATE_RECEIVE_BUFFER
0x2a3fd3 FAILED_TO_OPEN_MACTCP
0xe14ab2 FAILED_TO_OPEN_TCP_ADDRESS_TRANSLATION_UNIT
0x8af409 FLUSH_FAILED
0xdb3f30 FallenBehindInNodeDoubling
0xa8f179 FatalError
0x7ab14b FossilExtinct
0x39bba3 GRIPE
0x7d2b6b GUARD_RECORDS_DONT_MATCH
0x3c1987 GUARD_RECORDS_DONT_MATCH_ON_REHASH
0x37acdb HANDLE_NOT_FROZEN
0xa5f803 HASH
0xdb2888 HASH_COLLISION
0x756951 HOSTNAME_LOOKUP_FAILURE
0x230388 Handle_must_aready_be_initialized
0x1e3f39 HasMultipleIDs
0x10bb46 Hash_must_not_change
0xfbc7a9 Heapers_in_StrongAsPosition_must_be_real
0xae7138 IDAlreadyAssigned
0x7c94d2 IDAlreadyUsed
0xdb721d INVALID_METHOD
0x206219 INVALID_SNARF_I_D
0xd3d3ed IdentifierTooLong
0x3cacfa IllegalID
0xacb59e Illegal_access
0xca309e IncomparableType
0x6dd838 IncompatibleRegions
0x6cbea4 IncompleteAbstraction
0x70d178 IncorrectLabel
0x5929bc IndexOutOfBounds
0x489994 IntersectingCombine
0xc6ea90 InvalidParameter
0x0a3835 InvalidRequest
0x9be459 InvalidTextPosition
0x3f7533 InvalidTrail
0x438078 Invalid_arrangement
0x1db150 LACK_OF_WILL
0x516aa4 MEMORY_ALLOCATION_FAILURE
0x5f140f MEM_ALLOC_ERROR
0x8867dc MESSUP_IN_PRIMARRAY_COMPACT
0xa21ca6 MUST_DEFAULT_BOTH_OR_NEITHER
0xd2d3e5 ModifyBlockedByOutstandingStepper
0xd335ea ModuloFailed
0x7a32bc MultipleImages
0x045091 MultiplePreImages
0x566a91 MustBeAFlock
0x2839e2 MustBeClubDescription
0x8c839c MustBeConcreteWrapperSpec
0x62e79b MustBeFinite
0xfeddd5 MustBeFrozen
0x623585 MustBeInitialized
0x294d70 MustBeOwner
0x0f5048 MustBeRealDiskManager
0x0f3daa MustBeSimple
0xa63c64 MustBeValidLockSmith
0x107748 MustHaveAdminAuthority
0x3a76e4 MustHaveAuthorSignatureAuthority
0xda8efa MustHaveBeenGrantedAuthority
0x3edc38 MustHaveEditAuthority
0x321be9 MustHaveEditPermission
0xb66567 MustHaveOneValue
0xc60117 MustHaveReadPermission
0x7fa8d7 MustHaveRoom
0xced21b MustHaveSignatureAuthority
0x0e7363 MustHaveSingleElement
0xd036fb MustHaveSponsorAuthority
0xa5a394 MustManuallyDestroy
0xc7ee31 MustNotBeNull
0xc265b8 MustNotHaveNullElements
0x77859f MustSupplySomeHyperRefInformation
0x4e4d79 MustUseDifferentLinkEndKey
0x69b1b7 MustUseDifferentLinkEndName
0x3c875e Must_allocate_some_space
0x18f9dc Must_be_both_or_niether
0xe6b64a Must_be_initialized
0x374116 Must_be_inside_transation
0xb633c1 Must_be_instantiated
0x6d34b6 Must_be_read_handle
0xe54fcf Must_be_same_character
0xa1525c Must_be_stub
0x5da275 Must_have_an_ordering_from_each_space
0x30f5b4 Must_have_room
0xf2d6aa Must_have_space_left
0xad43bf Must_not_already_be_exhausted
0x835e58 Must_not_be_destructed
0x679659 Must_not_have_an_info_yet
0xa54fe4 Must_start_inside_buffer
0x0d1504 Must_write_every_element
0x6b62ee NON_PRINTING_CHARACTER
0xf4271f NOT_AN_URDI_FILE
0x2903a1 NOT_ENOUGH_DISK_TO_CREATE_URDI_FILE
